Species,Increasing.Rank.Min,Decreasing.Rank.Min,Increasing.Rank.Max,Decreasing.Rank.Max,Increasing.Rank.Average,Decreasing.Rank.Average,Decre.maxRank.P,Decre.aveRank.P,Incre.aveRank.P,Decre.minRank.P,Decre.minRank.P.FDR,Decre.maxRank.P.FDR,Decre.aveRank.P.FDR,Ctlmean,Dismean,Shape,Label,Label2,Origin
Pathway118,2600,7401,2601,7402,2600.5,7401.5,0.740125987,0.740075992,0.26002 ,0.740025997,0.99980002,1,0.99980002,2.77E-05,2.73E-05,B,,,P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate
Pathway197,2539,7427,2575,7463,2557,7445,0.746225377,0.744425557,0.25567 ,0.742625737,0.99980002,1,0.99980002,1.84E-07,2.46E-07,B,,,PWY.5265..peptidoglycan.biosynthesis.II..staphylococci.
Pathway341,1,4985,5017,10001,2509,7493,1,0.749225077,0.25087 ,0.498450155,0.776578574,1,0.99980002,5.92E-10,0,B,,,PWY.6641..superpathway.of.sulfolactate.degradation
Pathway100,1,4999,5003,10001,2502,7500,1,0.749925007,0.25017 ,0.499850015,0.776578574,1,0.99980002,1.12E-09,0,B,,,P101.PWY..ectoine.biosynthesis
Pathway218,1,4999,5003,10001,2502,7500,1,0.749925007,0.25017 ,0.499850015,0.776578574,1,0.99980002,2.89E-10,0,B,,,PWY.5647..2.nitrobenzoate.degradation.I
Pathway220,1,4999,5003,10001,2502,7500,1,0.749925007,0.25017 ,0.499850015,0.776578574,1,0.99980002,2.96E-10,0,B,,,PWY.5654..2.amino.3.carboxymuconate.semialdehyde.degradation.to.2.oxopentenoate
Pathway365,1,4999,5003,10001,2502,7500,1,0.749925007,0.25017 ,0.499850015,0.776578574,1,0.99980002,8.71E-10,0,B,,,PWY.6948..sitosterol.degradation.to.androstenedione
Pathway267,1,5053,4949,10001,2475,7527,1,0.752624738,0.24748 ,0.505249475,0.781060799,1,0.99980002,9.64E-09,0,B,,,PWY.5994..palmitate.biosynthesis.I..animals.and.fungi.
Pathway200,1,5057,4945,10001,2473,7529,1,0.752824718,0.24728 ,0.505649435,0.781060799,1,0.99980002,1.24E-09,0,B,,,PWY.5328..superpathway.of.L.methionine.salvage.and.degradation
Pathway142,1,5118,4884,10001,2442.5,7559.5,1,0.755874413,0.24423 ,0.511748825,0.788210834,1,0.99980002,1.37E-09,0,B,,,PWY.2221..Entner.Doudoroff.pathway.III..semi.phosphorylative.
Pathway207,2371,7625,2377,7631,2374,7628,0.763023698,0.762723728,0.23738 ,0.762423758,0.99980002,1,0.99980002,7.90E-07,9.34E-07,B,,,PWY.5415..catechol.degradation.I..meta.cleavage.pathway.
Pathway119,2265,7716,2286,7737,2275.5,7726.5,0.773622638,0.772572743,0.22753 ,0.771522848,0.99980002,1,0.99980002,2.48E-07,1.56E-07,B,,,P562.PWY..myo.inositol.degradation.I
Pathway405,2257,7736,2266,7745,2261.5,7740.5,0.774422558,0.773972603,0.22613 ,0.773522648,0.99980002,1,0.99980002,8.20E-07,6.91E-07,B,,,PWY.7235..superpathway.of.ubiquinol.6.biosynthesis..eukaryotic.
Pathway253,1914,7542,2460,8088,2187,7815,0.808719128,0.781421858,0.21868 ,0.754124588,0.99980002,1,0.99980002,7.31E-09,3.27E-09,B,,,PWY.5872..ubiquinol.10.biosynthesis..eukaryotic.
Pathway352,2144,7822,2180,7858,2162,7840,0.785721428,0.783921608,0.21618 ,0.782121788,0.99980002,1,0.99980002,5.99E-08,8.02E-08,B,,,PWY.6785..hydrogen.production.VIII
Pathway442,2003,7707,2295,7999,2149,7853,0.799820018,0.785221478,0.21488 ,0.770622938,0.99980002,1,0.99980002,1.37E-08,4.36E-09,B,,,PWY.7431..aromatic.biogenic.amine.degradation..bacteria.
Pathway433,2118,7881,2121,7884,2119.5,7882.5,0.788321168,0.788171183,0.21193 ,0.788021198,0.99980002,1,0.99980002,3.19E-05,2.84E-05,B,,,PWY.7388..octanoyl..acyl.carrier.protein..biosynthesis..mitochondria..yeast.
Pathway12,2059,7942,2060,7943,2059.5,7942.5,0.794220578,0.794170583,0.20593 ,0.794120588,0.99980002,1,0.99980002,9.30E-05,8.72E-05,B,,,ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis
Pathway336,2053,7948,2054,7949,2053.5,7948.5,0.794820518,0.794770523,0.20533 ,0.794720528,0.99980002,1,0.99980002,0.000281339,0.000270103,B,,,PWY.6609..adenine.and.adenosine.salvage.III
Pathway39,1613,7520,2482,8389,2047.5,7954.5,0.838816118,0.795370463,0.20473 ,0.751924808,0.99980002,1,0.99980002,3.68E-09,1.34E-09,B,,,ERGOSTEROL.SYN.PWY..superpathway.of.ergosterol.biosynthesis.I
Pathway182,1612,7558,2444,8390,2028,7974,0.838916108,0.797320268,0.20278 ,0.755724428,0.99980002,1,0.99980002,4.95E-09,2.23E-09,B,,,PWY.5129..sphingolipid.biosynthesis..plants.
Pathway515,1589,7558,2444,8413,2016.5,7985.5,0.841215878,0.798470153,0.20163 ,0.755724428,0.99980002,1,0.99980002,4.26E-09,1.58E-09,B,,,SPHINGOLIPID.SYN.PWY..sphingolipid.biosynthesis..yeast.
Pathway136,2002,7997,2005,8000,2003.5,7998.5,0.799920008,0.799770023,0.20033 ,0.799620038,0.99980002,1,0.99980002,5.63E-05,5.47E-05,B,,,PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis.I
Pathway392,2002,8000,2002,8000,2002,8000,0.799920008,0.799920008,0.20018 ,0.799920008,0.99980002,1,0.99980002,1.48E-05,1.29E-05,B,,,PWY.7209..superpathway.of.pyrimidine.ribonucleosides.degradation
Pathway10,1130,7137,2865,8872,1997.5,8004.5,0.887111289,0.800369963,0.19973 ,0.713628637,0.980781922,1,0.99980002,1.03E-09,3.79E-10,B,,,ARGDEG.IV.PWY..L.arginine.degradation.VIII..arginine.oxidase.pathway.
Pathway521,1919,8081,1921,8083,1920,8082,0.808219178,0.808119188,0.19198 ,0.808019198,0.99980002,1,0.99980002,0.000196537,0.000188293,B,,,THISYNARA.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.III..eukaryotes.
Pathway279,1896,8104,1898,8106,1897,8105,0.810518948,0.810418958,0.18968 ,0.810318968,0.99980002,1,0.99980002,0.000152583,0.00014211,B,,,PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II
Pathway441,1573,7966,2036,8429,1804.5,8197.5,0.842815718,0.819668033,0.18043 ,0.796520348,0.99980002,1,0.99980002,4.33E-09,2.13E-09,B,,,PWY.7420..monoacylglycerol.metabolism..yeast.
Pathway260,1779,8222,1780,8223,1779.5,8222.5,0.822217778,0.822167783,0.17793 ,0.822117788,0.99980002,1,0.99980002,2.63E-05,2.07E-05,B,,,PWY.5913..TCA.cycle.VI..obligate.autotrophs.
Pathway428,1602,8052,1950,8400,1776,8226,0.839916008,0.822517748,0.17758 ,0.805119488,0.99980002,1,0.99980002,1.17E-08,2.60E-08,B,,,PWY.7373..superpathway.of.demethylmenaquinol.6.biosynthesis.II
Pathway325,1745,8254,1748,8257,1746.5,8255.5,0.825617438,0.825467453,0.17463 ,0.825317468,0.99980002,1,0.99980002,4.49E-06,4.76E-06,B,,,PWY.6531..mannitol.cycle
Pathway173,1726,8273,1729,8276,1727.5,8274.5,0.827517248,0.827367263,0.17273 ,0.827217278,0.99980002,1,0.99980002,2.33E-05,2.33E-05,B,,,PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation
Pathway199,1440,7993,2009,8562,1724.5,8277.5,0.856114389,0.827667233,0.17243 ,0.799220078,0.99980002,1,0.99980002,2.22E-08,6.26E-09,B,,,PWY.5306..superpathway.of.thiosulfate.metabolism..Desulfovibrio.sulfodismutans.
Pathway338,1686,8316,1686,8316,1686,8316,0.831516848,0.831516848,0.16858 ,0.831516848,0.99980002,1,0.99980002,0.000109455,9.81E-05,B,,,PWY.6628..superpathway.of.L.phenylalanine.biosynthesis
Pathway170,1512,8261,1741,8490,1626.5,8375.5,0.848915108,0.837466253,0.16263 ,0.826017398,0.99980002,1,0.99980002,1.73E-08,6.28E-09,B,,,PWY.5079..L.phenylalanine.degradation.III
Pathway169,1543,8349,1653,8459,1598,8404,0.845815418,0.840315968,0.15978 ,0.834816518,0.99980002,1,0.99980002,2.05E-08,9.70E-09,B,,,PWY.5067..glycogen.biosynthesis.II..from.UDP.D.Glucose.
Pathway304,1553,8370,1632,8449,1592.5,8409.5,0.844815518,0.840865913,0.15923 ,0.836916308,0.99980002,1,0.99980002,1.34E-08,1.48E-08,B,,,PWY.6309..L.tryptophan.degradation.XI..mammalian..via.kynurenine.
Pathway28,1580,8421,1581,8422,1580.5,8421.5,0.842115788,0.842065793,0.15803 ,0.842015798,0.99980002,1,0.99980002,0.000158718,0.00015196,B,,,COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I
Pathway8,1539,8461,1541,8463,1540,8462,0.846215378,0.846115388,0.15398 ,0.846015398,0.99980002,1,0.99980002,0.000429505,0.000421465,B,,,ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.
Pathway141,1305,8279,1723,8697,1514,8488,0.869613039,0.848715128,0.15138 ,0.827817218,0.99980002,1,0.99980002,3.85E-08,1.48E-08,B,,,PWY.2201..folate.transformations.I
Pathway171,1157,8132,1870,8845,1513.5,8488.5,0.884411559,0.848765123,0.15133 ,0.813118688,0.99980002,1,0.99980002,3.92E-09,1.15E-09,B,,,PWY.5080..very.long.chain.fatty.acid.biosynthesis.I
Pathway333,1157,8132,1870,8845,1513.5,8488.5,0.884411559,0.848765123,0.15133 ,0.813118688,0.99980002,1,0.99980002,3.92E-09,1.15E-09,B,,,PWY.6598..sciadonate.biosynthesis
Pathway380,1493,8506,1496,8509,1494.5,8507.5,0.850814919,0.850664934,0.14944 ,0.850514949,0.99980002,1,0.99980002,2.85E-05,2.32E-05,B,,,PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type
Pathway215,1203,8388,1614,8799,1408.5,8593.5,0.879812019,0.859264074,0.14084 ,0.838716128,0.99980002,1,0.99980002,2.12E-08,1.75E-08,B,,,PWY.5514..UDP.N.acetyl.D.galactosamine.biosynthesis.II
Pathway529,1202,8450,1552,8800,1377,8625,0.879912009,0.862413759,0.13769 ,0.844915508,0.99980002,1,0.99980002,1.97E-08,1.21E-08,B,,,UDPNACETYLGALSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.II
Pathway259,1346,8655,1347,8656,1346.5,8655.5,0.865513449,0.865463454,0.13464 ,0.865413459,0.99980002,1,0.99980002,5.93E-06,6.00E-06,B,,,PWY.5910..superpathway.of.geranylgeranyldiphosphate.biosynthesis.I..via.mevalonate.
Pathway57,1345,8654,1348,8657,1346.5,8655.5,0.865613439,0.865463454,0.13464 ,0.865313469,0.99980002,1,0.99980002,0.000128793,0.00011746,B,,,GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronide.and.D.glucuronate.degradation
Pathway17,1296,8704,1298,8706,1297,8705,0.870512949,0.870412959,0.12969 ,0.870312969,0.99980002,1,0.99980002,0.000171741,0.000159591,B,,,ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis
Pathway319,1266,8735,1267,8736,1266.5,8735.5,0.873512649,0.873462654,0.12664 ,0.873412659,0.99980002,1,0.99980002,2.79E-05,2.29E-05,B,,,PWY.6471..peptidoglycan.biosynthesis.IV..Enterococcus.faecium.
Pathway252,1156,8682,1320,8846,1238,8764,0.884511549,0.876312369,0.12379 ,0.868113189,0.99980002,1,0.99980002,6.11E-08,2.96E-08,B,,,PWY.5871..ubiquinol.9.biosynthesis..eukaryotic.
Pathway254,1156,8682,1320,8846,1238,8764,0.884511549,0.876312369,0.12379 ,0.868113189,0.99980002,1,0.99980002,6.11E-08,2.96E-08,B,,,PWY.5873..ubiquinol.7.biosynthesis..eukaryotic.
Pathway140,1207,8795,1207,8795,1207,8795,0.879412059,0.879412059,0.12069 ,0.879412059,0.99980002,1,0.99980002,5.95E-06,4.87E-06,B,,,PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle.
Pathway67,1192,8808,1194,8810,1193,8809,0.880911909,0.880811919,0.11929 ,0.880711929,0.99980002,1,0.99980002,2.45E-05,2.05E-05,B,,,GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol
Pathway194,1184,8818,1184,8818,1184,8818,0.881711829,0.881711829,0.11839 ,0.881711829,0.99980002,1,0.99980002,8.47E-05,7.76E-05,B,,,PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.
Pathway1,1176,8823,1179,8826,1177.5,8824.5,0.882511749,0.882361764,0.11774 ,0.882211779,0.99980002,1,0.99980002,0.00019619,0.000182784,B,,,X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis
Pathway444,1147,8854,1148,8855,1147.5,8854.5,0.885411459,0.885361464,0.11474 ,0.885311469,0.99980002,1,0.99980002,1.64E-05,1.18E-05,B,,,PWY.7456..mannan.degradation
Pathway345,1058,8898,1104,8944,1081,8921,0.894310569,0.892010799,0.10809 ,0.889711029,0.99980002,1,0.99980002,7.17E-08,2.42E-07,B,,,PWY.6692..Fe.II..oxidation
Pathway63,1057,8945,1057,8945,1057,8945,0.894410559,0.894410559,0.10569 ,0.894410559,0.99980002,1,0.99980002,3.27E-05,3.07E-05,B,,,GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.Entner.Doudoroff
Pathway314,983,9016,986,9019,984.5,9017.5,0.901809819,0.901659834,0.09844 ,0.901509849,0.99980002,1,0.99980002,4.44E-06,3.87E-06,B,,,PWY.6396..superpathway.of.2.3.butanediol.biosynthesis
Pathway135,961,9040,962,9041,961.5,9040.5,0.904009599,0.903959604,0.09614 ,0.903909609,0.99980002,1,0.99980002,0.000643818,0.000619185,B,,,PWY.1042..glycolysis.IV..plant.cytosol.
Pathway49,937,9063,939,9065,938,9064,0.906409359,0.906309369,0.09379 ,0.906209379,0.99980002,1,0.99980002,0.000131251,0.000117014,B,,,GALACTUROCAT.PWY..D.galacturonate.degradation.I
Pathway402,895,9104,898,9107,896.5,9105.5,0.910608939,0.910458954,0.08964 ,0.910308969,0.99980002,1,0.99980002,0.000232389,0.000213353,B,,,PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I
Pathway453,683,8893,1109,9319,896,9106,0.931806819,0.910508949,0.08959 ,0.889211079,0.99980002,1,0.99980002,7.11E-09,1.24E-09,B,,,PWY.7619..juniperonate.biosynthesis
Pathway525,887,9113,889,9115,888,9114,0.911408859,0.911308869,0.08879 ,0.911208879,0.99980002,1,0.99980002,0.000242391,0.000224205,B,,,TRNA.CHARGING.PWY..tRNA.charging
Pathway121,885,9115,887,9117,886,9116,0.911608839,0.911508849,0.08859 ,0.911408859,0.99980002,1,0.99980002,0.000279704,0.000260426,B,,,PANTO.PWY..phosphopantothenate.biosynthesis.I
Pathway320,883,9117,885,9119,884,9118,0.911808819,0.911708829,0.08839 ,0.911608839,0.99980002,1,0.99980002,0.000124869,0.000111642,B,,,PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation
Pathway204,649,8906,1096,9353,872.5,9129.5,0.935206479,0.912858714,0.08724 ,0.890510949,0.99980002,1,0.99980002,8.45E-09,2.57E-09,B,,,PWY.5381..pyridine.nucleotide.cycling..plants.
Pathway47,869,9133,869,9133,869,9133,0.913208679,0.913208679,0.08689 ,0.913208679,0.99980002,1,0.99980002,0.000119567,0.00010657,B,,,GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation
Pathway459,866,9133,869,9136,867.5,9134.5,0.913508649,0.913358664,0.08674 ,0.913208679,0.99980002,1,0.99980002,5.21E-06,5.08E-06,B,,,PWY.922..mevalonate.pathway.I
Pathway482,836,9164,838,9166,837,9165,0.916508349,0.916408359,0.08369 ,0.916308369,0.99980002,1,0.99980002,1.10E-07,7.23E-08,B,,,PWY1F.823..leucopelargonidin.and.leucocyanidin.biosynthesis
Pathway329,813,9189,813,9189,813,9189,0.918808119,0.918808119,0.08129 ,0.918808119,0.99980002,1,0.99980002,1.81E-05,1.32E-05,B,,,PWY.6588..pyruvate.fermentation.to.acetone
Pathway435,776,9225,777,9226,776.5,9225.5,0.922507749,0.922457754,0.07764 ,0.922407759,0.99980002,1,0.99980002,4.05E-06,3.54E-06,B,,,PWY.7391..isoprene.biosynthesis.II..engineered.
Pathway222,726,9276,726,9276,726,9276,0.927507249,0.927507249,0.07259 ,0.927507249,0.99980002,1,0.99980002,0.000175074,0.000160969,B,,,PWY.5659..GDP.mannose.biosynthesis
Pathway152,721,9280,722,9281,721.5,9280.5,0.928007199,0.927957204,0.07214 ,0.927907209,0.99980002,1,0.99980002,0.00021269,0.000193903,B,,,PWY.3841..folate.transformations.II
Pathway87,721,9280,722,9281,721.5,9280.5,0.928007199,0.927957204,0.07214 ,0.927907209,0.99980002,1,0.99980002,0.000200984,0.000177174,B,,,MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis
Pathway14,706,9295,707,9296,706.5,9295.5,0.929507049,0.929457054,0.07064 ,0.929407059,0.99980002,1,0.99980002,0.000281615,0.000265513,B,,,ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.
Pathway387,705,9295,707,9297,706,9296,0.929607039,0.929507049,0.07059 ,0.929407059,0.99980002,1,0.99980002,1.01E-05,8.66E-06,B,,,PWY.7198..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.IV
Pathway322,613,9387,615,9389,614,9388,0.938806119,0.938706129,0.06139 ,0.938606139,0.99980002,1,0.99980002,2.90E-05,2.31E-05,B,,,PWY.6519..8.amino.7.oxononanoate.biosynthesis.I
Pathway91,613,9388,614,9389,613.5,9388.5,0.938806119,0.938756124,0.06134 ,0.938706129,0.99980002,1,0.99980002,0.000191762,0.000168605,B,,,METSYN.PWY..L.homoserine.and.L.methionine.biosynthesis
Pathway448,393,9288,714,9609,553.5,9448.5,0.96080392,0.944755524,0.05534 ,0.928707129,0.99980002,1,0.99980002,3.33E-09,6.61E-10,B,,,PWY.7546..diphthamide.biosynthesis..eukaryotes.
Pathway74,549,9452,550,9453,549.5,9452.5,0.945205479,0.945155484,0.05494 ,0.945105489,0.99980002,1,0.99980002,0.000192045,0.000174853,B,,,HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I
Pathway178,532,9469,533,9470,532.5,9469.5,0.946905309,0.946855314,0.05324 ,0.946805319,0.99980002,1,0.99980002,0.000495705,0.000472692,B,,,PWY.5103..L.isoleucine.biosynthesis.III
Pathway526,527,9474,528,9475,527.5,9474.5,0.947405259,0.947355264,0.05274 ,0.947305269,0.99980002,1,0.99980002,5.39E-05,4.64E-05,B,,,TRPSYN.PWY..L.tryptophan.biosynthesis
Pathway31,525,9476,526,9477,525.5,9476.5,0.947605239,0.947555244,0.05254 ,0.947505249,0.99980002,1,0.99980002,1.19E-05,9.82E-06,B,,,CRNFORCAT.PWY..creatinine.degradation.I
Pathway438,500,9502,500,9502,500,9502,0.95010499,0.95010499,0.05000 ,0.95010499,0.99980002,1,0.99980002,0.000272036,0.000255034,B,,,PWY.7400..L.arginine.biosynthesis.IV..archaebacteria.
Pathway311,493,9507,495,9509,494,9508,0.95080492,0.95070493,0.04940 ,0.95060494,0.99980002,1,0.99980002,0.000449458,0.000426071,B,,,PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.
Pathway52,493,9509,493,9509,493,9509,0.95080492,0.95080492,0.04930 ,0.95080492,0.99980002,1,0.99980002,9.55E-05,8.17E-05,B,,,GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation
Pathway393,475,9527,475,9527,475,9527,0.95260474,0.95260474,0.04750 ,0.95260474,0.99980002,1,0.99980002,1.50E-05,1.18E-05,B,,,PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP
Pathway20,458,9544,458,9544,458,9544,0.95430457,0.95430457,0.04580 ,0.95430457,0.99980002,1,0.99980002,0.0005175,0.000493171,B,,,BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis
Pathway470,453,9549,453,9549,453,9549,0.95480452,0.95480452,0.04530 ,0.95480452,0.99980002,1,0.99980002,1.50E-05,1.12E-05,B,,,PWY0.1479..tRNA.processing
Pathway391,433,9568,434,9569,433.5,9568.5,0.95680432,0.956754325,0.04335 ,0.95670433,0.99980002,1,0.99980002,0.000208489,0.000187573,B,,,PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage
Pathway32,401,9600,402,9601,401.5,9600.5,0.960004,0.959954005,0.04015 ,0.95990401,0.99980002,1,0.99980002,9.80E-05,7.88E-05,B,,,DAPLYSINESYN.PWY..L.lysine.biosynthesis.I
Pathway202,387,9615,387,9615,387,9615,0.96140386,0.96140386,0.03870 ,0.96140386,0.99980002,1,0.99980002,0.000177417,0.000149403,B,,,PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.
Pathway364,371,9629,373,9631,372,9630,0.9630037,0.96290371,0.03720 ,0.96280372,0.99980002,1,0.99980002,0.00014866,0.000127722,B,,,PWY.6936..seleno.amino.acid.biosynthesis
Pathway408,355,9646,356,9647,355.5,9646.5,0.96460354,0.964553545,0.03555 ,0.96450355,0.99980002,1,0.99980002,0.000102437,8.43E-05,B,,,PWY.7242..D.fructuronate.degradation
Pathway274,352,9650,352,9650,352,9650,0.96490351,0.96490351,0.03520 ,0.96490351,0.99980002,1,0.99980002,0.000421999,0.000377,B,,,PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II
Pathway298,352,9650,352,9650,352,9650,0.96490351,0.96490351,0.03520 ,0.96490351,0.99980002,1,0.99980002,0.000421999,0.000377,B,,,PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis
Pathway390,338,9659,343,9664,340.5,9661.5,0.96630337,0.966053395,0.03405 ,0.96580342,0.99980002,1,0.99980002,1.24E-06,8.93E-07,B,,,PWY.7204..pyridoxal.5..phosphate.salvage.II..plants.
Pathway187,334,9668,334,9668,334,9668,0.96670333,0.96670333,0.03340 ,0.96670333,0.99980002,1,0.99980002,9.21E-05,7.85E-05,B,,,PWY.5177..glutaryl.CoA.degradation
Pathway42,330,9672,330,9672,330,9672,0.96710329,0.96710329,0.03300 ,0.96710329,0.99980002,1,0.99980002,3.59E-05,2.77E-05,B,,,FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.
Pathway176,321,9679,323,9681,322,9680,0.9680032,0.96790321,0.03220 ,0.96780322,0.99980002,1,0.99980002,0.000213729,0.000185364,B,,,PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II
Pathway205,321,9680,322,9681,321.5,9680.5,0.9680032,0.967953205,0.03215 ,0.96790321,0.99980002,1,0.99980002,7.28E-05,5.47E-05,B,,,PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.
Pathway36,307,9694,308,9695,307.5,9694.5,0.96940306,0.969353065,0.03075 ,0.96930307,0.99980002,1,0.99980002,0.000379629,0.000344176,B,,,DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I
Pathway479,253,9747,255,9749,254,9748,0.97480252,0.97470253,0.02540 ,0.97460254,0.99980002,1,0.99980002,1.76E-05,1.02E-05,B,,,PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage
Pathway203,252,9750,252,9750,252,9750,0.97490251,0.97490251,0.02520 ,0.97490251,0.99980002,1,0.99980002,3.85E-05,2.87E-05,B,,,PWY.5367..petroselinate.biosynthesis
Pathway15,214,9788,214,9788,214,9788,0.97870213,0.97870213,0.02140 ,0.97870213,0.99980002,1,0.99980002,0.000137974,0.000113377,B,,,ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.
Pathway506,210,9787,215,9792,212.5,9789.5,0.97910209,0.978852115,0.02125 ,0.97860214,0.99980002,1,0.99980002,1.49E-05,9.33E-06,B,,,PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I
Pathway273,210,9792,210,9792,210,9792,0.97910209,0.97910209,0.02100 ,0.97910209,0.99980002,1,0.99980002,0.000409016,0.000362025,B,,,PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I
Pathway523,202,9800,202,9800,202,9800,0.97990201,0.97990201,0.02020 ,0.97990201,0.99980002,1,0.99980002,0.000219948,0.000183607,B,,,THRESYN.PWY..superpathway.of.L.threonine.biosynthesis
Pathway398,195,9807,195,9807,195,9807,0.98060194,0.98060194,0.01950 ,0.98060194,0.99980002,1,0.99980002,0.000602075,0.000577593,B,,,PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis
Pathway128,192,9810,192,9810,192,9810,0.98090191,0.98090191,0.01920 ,0.98090191,0.99980002,1,0.99980002,4.61E-05,3.76E-05,B,,,POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I
Pathway396,180,9822,180,9822,180,9822,0.98210179,0.98210179,0.01800 ,0.98210179,0.99980002,1,0.99980002,0.000864235,0.000817038,B,,,PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis
Pathway407,174,9827,175,9828,174.5,9827.5,0.98270173,0.982651735,0.01745 ,0.98260174,0.99980002,1,0.99980002,0.00028157,0.000244561,B,,,PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II
Pathway147,169,9832,170,9833,169.5,9832.5,0.98320168,0.983151685,0.01695 ,0.98310169,0.99980002,1,0.99980002,0.000299892,0.000263766,B,,,PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I
Pathway313,161,9841,161,9841,161,9841,0.9840016,0.9840016,0.01610 ,0.9840016,0.99980002,1,0.99980002,0.000539201,0.000500177,B,,,PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.
Pathway513,142,9859,143,9860,142.5,9859.5,0.98590141,0.985851415,0.01425 ,0.98580142,0.99980002,1,0.99980002,0.000225003,0.000190199,B,,,SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I
Pathway104,142,9860,142,9860,142,9860,0.98590141,0.98590141,0.01420 ,0.98590141,0.99980002,1,0.99980002,4.46E-06,2.17E-06,B,,,P124.PWY..Bifidobacterium.shunt
Pathway61,133,9868,134,9869,133.5,9868.5,0.98680132,0.986751325,0.01335 ,0.98670133,0.99980002,1,0.99980002,0.000168065,0.000135134,B,,,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.
Pathway124,101,9901,101,9901,101,9901,0.990001,0.990001,0.01010 ,0.990001,0.99980002,1,0.99980002,0.000592639,0.000558209,B,,,PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.
Pathway146,100,9901,101,9902,100.5,9901.5,0.99010099,0.990050995,0.01005 ,0.990001,0.99980002,1,0.99980002,0.000444796,0.000395776,B,,,PWY.2942..L.lysine.biosynthesis.III
Pathway488,94,9908,94,9908,94,9908,0.99070093,0.99070093,0.00940 ,0.99070093,0.99980002,1,0.99980002,4.27E-06,2.82E-06,B,,,PWY490.3..nitrate.reduction.VI..assimilatory.
Pathway230,73,9927,75,9929,74,9928,0.99280072,0.99270073,0.00740 ,0.99260074,0.99980002,1,0.99980002,5.82E-05,2.33E-05,B,Urate biosynthesis IMP degradation,,PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation
